Thématique;Date;Nom;Objectifs;Localisation
Culture;2019-12-12;"Exposition photo autour
de la thématique H/F";Exposition photo;
Sport;2019-04-01;Tournoi futsal;Réalisation tournoi de futsal;
Sport;2019-04-01;Drone;Achat d'un drone;
Sport;2019-04-01;Barnum;Achat de barnum pour différents évènements sportifs;
Sport;2019-04-01;Cross fit;Activité sport campus;
Sport;2020-03-01;Recrutement étudiant promotion et gestion homeball et streetworkout;Recrutement d'un étudiant pour la gestion et promotion de structures sportives;
Sport;2020-03-01;"Campusiades version 
confinée";;
Sport;2020-03-01;Barnum 2020;Achat de barnum pour différents évènements sportifs;
Santé;2019-04-01;L'alimentation plaisir santé;"Mise en place d'ateliers et
consultations";
Santé;2019-04-01;Achat d'un défibrillateur;"Installation de matériel au
 SUMPPS";
Santé;2020-06-01;"Prévention du tabagisme et autres 
produits fumés";Programme de lutte contre les addictions aux produits fumés;
Transversal;2020-11-01;Parking vélo;Installation de deux abris adaptés et sécurisés pour les vélos.;
Culture;2020-11-01;Bulles sociologiques;Publication d’une BD par et pour les étudiants de l’Université d’Évry;
Culture;2020-11-01;Valorisation du patrimoine de Amadou HAMPATE BA;Hommage à Amadou Hampate Ba;
Transversal;2019-11-01;Aménagement local UNEF;Installation de mobilier;
Transversal;2019-11-01;Expo hall 1ers cycles;Installation de matériel d'exposition;
Transversal;2019-11-01;Aménagement hall 1ers cycles;Installation de micro ondes et banquettes;
Transversal;2019-11-01;Prescri forme;Programme de prescription d'activité physique;
Transversal;2019-06-01;Micro-ondes;Installation de micro ondes sur tous les sites;
Culture;2019-04-01;Salle culturelle;"Création et aménagement 
de la galerie Cesaria Evora";
Culture;2019-04-01;Orchestre universitaire;Organisation d'un orchestre d'étudiants et personnels de l'Université;
Culture;2019-04-01;A vos baskets les filles;Présentation d'un spectacle;
Culture;2019-12-12;"Nos météores II -
Fictions atmosphériques";Exposition;
Culture;2019-12-12;Ressusciter les rivières;Réalisation d'un documentaire;
Culture;2019-12-12;"No woman No cry :
l'art de réparer les femmes";Conférence;
Culture;2019-12-12;Les célèbres chuchoteurs;Spectacle à la BU;
Sport;2019-04-01;Homeball;Achat de structures pour jeux de balle;
Sport;2019-04-01;Tests de condition physique;"Passation de test de condition physique
pour les étudiants primo entrants";
Sport;2020-03-01;"Recrutement étudiant
""CVEC sport campus""";Recrutement d'un étudiant pour la gestion des activités CVEC sport campus;
Sport;2020-03-01;Kelform 2020;Progamme de passation de test de condition physique;
Santé;2019-04-01;"Distributeur de protections
 hygiéniques";Installation de distributeurs de protections hygiéniques gratuites;
Santé;2019-04-01;Achat d'une armoire électrique  et d'un enregistreur radiofréquence;"Installation de matériel 
au SUMPPS";
Santé;2020-03-01;Ateliers nutrition;Mise en place d'ateliers en ligne;
Santé;2020-06-01;Stress des étudiants;Prise en charge médicalisée;
Culture;2020-11-01;Apprendre de l'autre;Ateliers d'écriture et déambulations de comédiens sur le campus;
Culture;2020-11-01;Homogenitus;Exposition démonstration et performances;
Culture;2020-11-01;La ligne rouge;Projet de performance interactive portant sur la thématique de la surveillance et l'automatisation;
Culture;2020-11-01;Azawan Jazz et chaâbi Concert action culturelle et pédagogique;Concert;
